id,count
1,38
2,32
3,43
4,43
5,22
6,36
7,40
8,36
9,39
10,46
11,20
12,46
13,25
14,21
15,38
16,30
17,29
18,33
19,22
20,45
21,20
22,26
23,33
24,45
25,33
26,26
27,43
28,32
29,47
30,31
31,37
32,44
33,28
34,40
35,34
36,33
37,29
38,30
39,21
40,37
41,39
42,33
43,48
44,37
45,24
46,23
47,49
48,21
49,44
50,47
51,38
52,34
53,37
54,41
55,30
56,32
57,45
58,30
59,36
60,41
61,42
62,34
63,47
64,30
65,30
66,32
67,45
68,28
69,35
70,23
71,34
72,35
73,44
74,46
75,30
76,43
77,33
78,47
79,36
80,33
81,41
82,44
83,42
84,21
85,31
86,32
87,38
88,22
89,42
90,25
91,20
92,25
93,40
94,22
95,38
96,44
97,41
98,37
99,33
100,45
101,42
102,24
103,28
104,22
105,30
106,39
107,25
108,35
109,32
110,24
111,20
112,31
113,48
114,40
115,46
116,25
117,44
118,35
119,26
120,47
121,35
122,33
123,40
124,37
125,28
126,23
127,23
128,41
129,42
130,29
131,36
132,40
133,33
134,39
135,46
136,23
137,46
138,25
139,25
140,37
141,42
142,37
143,29
144,29
145,24
146,31
147,25
148,34
149,30
150,36
151,24
152,46
153,33
154,21
155,44
156,45
157,47
158,43
159,38
160,39
161,29
162,22
163,39
164,40
165,44
166,28
167,45
168,35
169,36
170,48
171,28
172,39
173,41
174,24
175,46
176,43
177,32
178,34
179,42
180,47
181,48
182,27
183,42
184,31
185,21
186,26
187,37
188,49
189,21
190,45
191,49
192,27
193,34
194,29
195,42
196,24
197,22
198,24
199,30
200,47
201,20
202,40
203,26
204,21
205,45
206,49
207,32
208,37
209,30
210,46
211,21
212,33
213,44
214,24
215,23
216,44
217,22
218,30
219,43
220,23
221,26
222,47
223,42
224,38
225,40
226,39
227,34
228,22
229,27
230,41
231,49
232,40
233,40
234,41
235,32
236,24
237,48
238,31
239,40
240,38
241,42
242,49
243,40
244,33
245,30
246,24
247,48
248,44
249,32
250,24
251,45
252,34
253,36
254,49
255,30
256,37
257,31
258,49
259,29
260,47
261,21
262,46
263,24
264,29
265,42
266,49
267,38
268,43
269,42
270,30
271,25
272,35
273,33
274,36
275,40
276,28
277,46
278,32
279,48
280,37
281,27
282,21
283,21
284,27
285,26
286,27
287,34
288,20
289,47
290,28
291,41
292,36
293,48
294,31
295,27
296,41
297,36
298,49
299,23
300,44
301,28
302,33
303,46
304,34
305,46
306,32
307,47
308,23
309,21
310,20
311,26
312,43
313,31
314,34
315,33
316,47
317,34
318,48
319,23
320,20
321,29
322,43
323,36
324,24
